specialties,company_name,industry,contact_phone,contact_email,company_website,contact_name,designation,Country,State,City,building_location,admin_id,contact_name_notes,company_address
06-07-2017,"Trinity group, LLC",,971 4 4478931,companyformation@trinitygroup.eu,http://www.trinitycorporateservices.com/,HR,,United Arab Emirates,Dubai,Business Bay,INTERNATIONAL BUSINESS TOWER,Anisha1,no need,
06-07-2017,GIM,,971 4 4218118,info@gimrealestate.com,http://www.gimrealestate.com/,HR,,United Arab Emirates,Dubai,Business Bay,INTERNATIONAL BUSINESS TOWER,Anisha1,NP call,
06-07-2017,"Dominus Promotional Gifts, LLC",,971 4 3697547,info@dominusme.com,http://dominusme.com/,HR,,United Arab Emirates,Dubai,Business Bay,INTERNATIONAL BUSINESS TOWER,Anisha1,NP call,
06-07-2017,"APC Heavy Equipment & Machinery Spare Parts Trading, LLC",,971 4 4476668,info@apc-uae.net,,Ms. Armida,,United Arab Emirates,Dubai,Business Bay,INTERNATIONAL BUSINESS TOWER,Anisha1,spoke to admin sent mail to hr,
06-07-2017,Liana Technologies,,971 4 3607939,sales@lianatech.com,https://www.lianatech.com/,Ms.Sruthi,,United Arab Emirates,Dubai,Business Bay,INTERNATIONAL BUSINESS TOWER,Anisha1,spoke to admin sent mail to admin,
06-07-2017,Maidco.,,971 4 4212444,liza@maidcouae.com,http://maidcouae.com/,HR,,United Arab Emirates,Dubai,Business Bay,INTERNATIONAL BUSINESS TOWER,Anisha1,NP call,
06-07-2017,"Enviro Engineering General Trading, LLC",,971 4 4201188,info@enviroegt.com,http://www.enviroegt.com/,HR,,United Arab Emirates,Dubai,Business Bay,INTERNATIONAL BUSINESS TOWER,Anisha1,No need,
06-07-2017,"Larsa Information Technology, LLC",,971 4 3626056,info@larsa.me,http://www.larsa.me/,HR,,United Arab Emirates,Dubai,Business Bay,INTERNATIONAL BUSINESS TOWER,Anisha1,NP call,
06-07-2017,Hayden Real Estate,,971 4 4298098,info@hayden.ae,http://hayden.ae/,HR,,United Arab Emirates,Dubai,Business Bay,INTERNATIONAL BUSINESS TOWER,Anisha1,NP call,
06-07-2017,"WIS Pharm General Trading, LLC",,971 4 4214594,info@wispharm.com,http://www.wispharm.com/,HR,,United Arab Emirates,Dubai,Business Bay,INTERNATIONAL BUSINESS TOWER,Anisha1,NP call,
06-07-2017,Blackwood Real Estate,,971 4 4472085,info@blackwooddubai.com,http://www.blackwooddubai.com/,,,United Arab Emirates,Dubai,Business Bay,INTERNATIONAL BUSINESS TOWER,Anisha1,Not valid number,
06-07-2017,Portfolio Managing Events,,971 4 4321062,lyca@pmeworld.com,http://portfoliomanagingevents.com/,Ms. Lyca,,United Arab Emirates,Dubai,Business Bay,INTERNATIONAL BUSINESS TOWER,Anisha1,spoke to admin sennt mail to admin,
06-07-2017,Mazaya Furniture,,971 4 4561421,info@mazayafurniture.ae,http://www.mazayafurniture.ae/,HR,,United Arab Emirates,Dubai,Business Bay,INTERNATIONAL BUSINESS TOWER,Anisha1,call back,
06-07-2017,Barry Morgan Photography,,971 4 3605665,info@barrymorganphotography.com,http://barrymorganphotography.com/,HR,,United Arab Emirates,Dubai,Business Bay,INTERNATIONAL BUSINESS TOWER,Anisha1,No need,
06-07-2017,"Direct Trade House International, LLC",,971 4 4405068,info@dthi.net,http://www.dthi.net/,HR,,United Arab Emirates,Dubai,Business Bay,INTERNATIONAL BUSINESS TOWER,Anisha1,NP call,
06-07-2017,Royal Roses,,971 4 2779444,info@royalroses.com,http://royalroses.com/,HR,,United Arab Emirates,Dubai,Business Bay,INTERNATIONAL BUSINESS TOWER,Anisha1,NP call,
06-07-2017,"INTC Trading, LLC",,971 4 5520456,,,,,United Arab Emirates,Dubai,Business Bay,INTERNATIONAL BUSINESS TOWER,Anisha1,NP call,
06-07-2017,"Fabex General Trading, LLC",,971 557211757,info@fabex.ae,http://fabex.ae/en/,HR,,United Arab Emirates,Dubai,Business Bay,INTERNATIONAL BUSINESS TOWER,Anisha1,Mobile number,
06-07-2017,Nurseco Home Healthcare,,971 4 4531616,girlie@nursecouae.com,http://www.nursecouae.com/,Ms. Girlie,,United Arab Emirates,Dubai,Business Bay,INTERNATIONAL BUSINESS TOWER,Anisha1,spoke to admin sent mail to Hr,
06-07-2017,"IGS Global Computer Trading, LLC",,971 4 3519841,,,,,United Arab Emirates,Dubai,Business Bay,INTERNATIONAL BUSINESS TOWER,Anisha1,NP call,
06-07-2017,"KAS General Trading, LLC",,971 4 4308898,,,,,United Arab Emirates,Dubai,Business Bay,INTERNATIONAL BUSINESS TOWER,Anisha1,NP call,
06-07-2017,"1 Call Group, LLC",,971 4 3606703,,,,,United Arab Emirates,Dubai,Business Bay,INTERNATIONAL BUSINESS TOWER,Anisha1,Not valid number,
06-07-2017,"Integrated Auto Parts, LLC",,971 4 4561416,info@iap.ae,,Ms. Joana,,United Arab Emirates,Dubai,Business Bay,INTERNATIONAL BUSINESS TOWER,Anisha1,spoke to admin sent mail to admin,
06-07-2017,"Datwyler Cabling Solution, LLC",,971 4 4228129,karen.antonio@datwyler.com,,Ms. Karen,,United Arab Emirates,Dubai,Business Bay,INTERNATIONAL BUSINESS TOWER,Anisha1,spoke to admin sent mail to hr,
06-07-2017,"Info Tech Middle East, LLC",,971 4 4543032,infotech@gmx.com,,Mr. Shaji,,United Arab Emirates,Dubai,Business Bay,INTERNATIONAL BUSINESS TOWER,Anisha1,spoke to hr sent mail to hr,
06-07-2017,German Property House,,9714-4565156,Customercare@germanph.com,http://www.germanpropertyhouse.com/,HR,,United Arab Emirates,Dubai,Business Bay,INTERNATIONAL BUSINESS TOWER,Anisha1,NP call,
06-07-2017,"Procon Emirates, LLC",,971 4 4529334,,,,,United Arab Emirates,Dubai,Business Bay,INTERNATIONAL BUSINESS TOWER,Anisha1,Didnt give mail id call back later,
06-07-2017,"Saxolink, LLC",,971 4 3603109,jonalyn.ruiz@seal-logistics.com,,Ms. Jonalyn,,United Arab Emirates,Dubai,Business Bay,INTERNATIONAL BUSINESS TOWER,Anisha1,No need sent mail to admin she is the concern person,
06-07-2017,"Royal Blue Charter, LLC",,971 4 4562428,,,,,United Arab Emirates,Dubai,Business Bay,INTERNATIONAL BUSINESS TOWER,Anisha1,NP call,
06-07-2017,IPS,,971 4 4433420,,,,,United Arab Emirates,Dubai,Business Bay,INTERNATIONAL BUSINESS TOWER,Anisha1,Not valid,
,SOBHA SAPPHIRE,,,,,,,United Arab Emirates,Dubai,Business Bay,INTERNATIONAL BUSINESS TOWER,Anisha1,,
,"Space Interiors & Exhibitions, LLC",,971 4 5515700,spaceme.ae,http://www.spaceme.ae/,Ms. Anisha,,United Arab Emirates,Dubai,Business Bay,INTERNATIONAL BUSINESS TOWER,Anisha1,spoke to HR sent mail to hr little scope call back,Spoke to navya adv no one is there in office call back tomo
,"Nets International Communication, LLC",,971 4 4473229,sales@nets-international.com,http://nets-international.com/,HR,,United Arab Emirates,Dubai,Business Bay,INTERNATIONAL BUSINESS TOWER,Anisha1,NP call,No Responses
,"Benair Air-Conditioning Company, LLC",,971 4 4322253,hr@benairuae.com,http://www.benairuae.com/,Mr. Ratish,,United Arab Emirates,Dubai,Business Bay,INTERNATIONAL BUSINESS TOWER,Anisha1,sent mail to HR spoke to admin,Disconnected
,"Catobo General Trading, LLC",,971 4 3?9?180?18,info@catobollc.com,http://www.catobollc.com/,HR,,United Arab Emirates,Dubai,Business Bay,INTERNATIONAL BUSINESS TOWER,Anisha1,No need,
,"PNC Architects, LLC",,971 4 4238054,,http://www.sobha-me.com/,Ms. Taniya,,United Arab Emirates,Dubai,Business Bay,INTERNATIONAL BUSINESS TOWER,Anisha1,NP call,Attend and tranfer the call but no responses
,Signature Properties,,971 4 4?2?906?21,info@signatureproperties.ae,http://www.signatureproperties.ae/,Ms. Rabiya,,United Arab Emirates,Dubai,Business Bay,INTERNATIONAL BUSINESS TOWER,Anisha1,sent mail to HR spoke to admin,in a meeting if interted will give a call back
,"Murad Enterprises, LLC",,971 4 4470405,customercare@murad.ae,http://www.murad.ae/,Mr. Raku,,United Arab Emirates,Dubai,Business Bay,INTERNATIONAL BUSINESS TOWER,Anisha1,sent mail to HR spoke to admin,Adv that he s busy call back later
,"Perfect General Trading, LLC",,971 4 421 7441,sales@pgtgroupme.com,http://www.pgtgroupme.com/,Mr.Aslam,,United Arab Emirates,Dubai,Business Bay,INTERNATIONAL BUSINESS TOWER,Anisha1,sent mail to HR spoke to admin,Adv to resend the email
,"Innova Refining & Trading, FZE",,971 4 2?7?665?80,office@innovarefining.com,https://trottersgroup.com/,Ms. Cassandra,,United Arab Emirates,Dubai,Business Bay,INTERNATIONAL BUSINESS TOWER,Anisha1,sent mail to adminspoke to admin,if need requiement will give a call back
,"Trans Engineering Solutions, LLC",,971 4 434 3612,info@tesuae.com,http://www.tesuae.com/,HR,,United Arab Emirates,Dubai,Business Bay,INTERNATIONAL BUSINESS TOWER,Anisha1,no need spoke to office manager sent mail,
,Super Perkins Group,,971 4 5515095,mohanad.almishal@outlook.com,http://www.superperkinstrading.com/,Mr. Mohanad,,United Arab Emirates,Dubai,Business Bay,INTERNATIONAL BUSINESS TOWER,Anisha1,sent mail to HR spoke to admin,Adv that he is not in the office will call back by 1
,"Red Apple Middle East Tourism, LLC",,971 4 5531303,support@redappletravel.com,https://www.redappletravel.com/,Mr. Sanal,,United Arab Emirates,Dubai,Business Bay,INTERNATIONAL BUSINESS TOWER,Anisha1,spoke to admin sent mail to HR,No Responses
,"TechnoWatt Electromechanical, LLC",,971 4 3685410,info@technowattgroup.ae,,Ms. Odessa,,United Arab Emirates,Dubai,Business Bay,INTERNATIONAL BUSINESS TOWER,Anisha1,No need sent mail to admin,
,Gemini Group,,"971 553844180
971 4 4392236",info@geminigroup.co,http://www.gemini-properties.com/,Ms. Elizabeth,,United Arab Emirates,Dubai,Business Bay,INTERNATIONAL BUSINESS TOWER,Anisha1,sent mail to HR she is on leave will be back ramadan,Adv to call back she is going for the meeting
,Al Hiba Real Estate,,971 4 3604422,info@alhibarealestate.com /nayeemalhiba@gmail.com,http://www.alhibarealestate.com/,Mr.Nayeem,,United Arab Emirates,Dubai,Business Bay,INTERNATIONAL BUSINESS TOWER,Anisha1,NP call,Adv to send an email
,"Mutair Contracting, LLC",,971 4 2?7?665?60,,,,,United Arab Emirates,Dubai,Business Bay,INTERNATIONAL BUSINESS TOWER,Anisha1,Not valid number,
,Al Amani TVR Group,,971 4 4353600,mail@alamani.ae,http://www.alamani.com/,Mr. Rajan,,United Arab Emirates,Dubai,Business Bay,INTERNATIONAL BUSINESS TOWER,Anisha1,spoke to admin sent mail to HR,Adv not in the office call back after an hour
,Transveritas,,971 4 4232500,office@transveritas.com,http://www.transveritas.com/,Ms.Renita,,United Arab Emirates,Dubai,Business Bay,INTERNATIONAL BUSINESS TOWER,Anisha1,spoke to hr no ned sent mail to HR,
,Mohammad Bin Ghalaita Group,,971 4 4588163,info@binghalaita.ae/rajeesh@binghalaita.ae,http://www.binghalaita.ae/,Mr.Rajeesh,,United Arab Emirates,Dubai,Business Bay,INTERNATIONAL BUSINESS TOWER,Anisha1,NP call,Adv that will send mail and than get back
,Al Ghuroob Real Estate,,971 4 4201100,gose@meta.ae,http://www.alghuroob.ae/,Mr. Gose,,United Arab Emirates,Dubai,Business Bay,INTERNATIONAL BUSINESS TOWER,Anisha1,spoke to hr no ned sent mail to HR,
,Transbulk International Shipping Company,,971 4 4341628,transblk@eim.ae,http://www.transbulk.ae/,Ms. Elinor,,United Arab Emirates,Dubai,Business Bay,INTERNATIONAL BUSINESS TOWER,Anisha1,spoke to hr no ned sent mail to HR,
,Alma Real Estate,,971 4 3637747,info@almadubai.com,http://almadubai.com/,HR,,United Arab Emirates,Dubai,Business Bay,INTERNATIONAL BUSINESS TOWER,Anisha1,NP call,Disonnected
,Gutal,,971 4 4534125,gutal@gutal.com/sam@gutal.com,http://gutal.com/,Mr. Situ,,United Arab Emirates,Dubai,Business Bay,INTERNATIONAL BUSINESS TOWER,Anisha1,spoke to admin anil sent mail to hr,Adv to resend an email to Mr.sam because he is the concern person of marketing and they dont have reuirement for accounting
,Khorakiwala & Al Basti,,971 4 2776823,ashrafk@uae.switzgroup.com,http://www.masterbakerme.com/,Mr. Ashraf,,United Arab Emirates,Dubai,Business Bay,INTERNATIONAL BUSINESS TOWER,Anisha1,spoke to admin she will forward it to HR they are nbot in sobha sappire,Adv that he is not in the office
24-10-2017,Axa Insurance comapny,Insurance,97144476111,,https://ae.axa-gulf.com,,,United Arab Emirates,Dubai,Business Bay,INTERNATIONAL BUSINESS TOWER,Anisha1,No Responses,
24-10-2017,"Doner Kebab, restaurant",Resturant,80036637,,,,,United Arab Emirates,Dubai,Business Bay,INTERNATIONAL BUSINESS TOWER,Anisha1,No Need,
24-10-2017,A2Z Interior Design,Interior,97144533372,info@a2zinterior.com,http://www.a2zinterior.com/,,,United Arab Emirates,Dubai,Business Bay,INTERNATIONAL BUSINESS TOWER,Anisha1,Disconnected,
24-10-2017,Dar Zaki Tourism,Tourism,97143219408,info@visaindubai.com/md@visaindubai.com,http://www.visaindubai.com/,Mr.Zaki,,United Arab Emirates,Dubai,Business Bay,INTERNATIONAL BUSINESS TOWER,Anisha1,Adv to send an email need confirmation,
24-10-2017,"Emirates National Investment, LLC",Builders,9714452444,contact@eni.ae,http://www.eni.ae,,,United Arab Emirates,Dubai,Business Bay,INTERNATIONAL BUSINESS TOWER,Anisha1,,
24-10-2017,Blue Marine Shipping,,97144297090,info@bmsdxb.com,http://www.bmsdxb.com,Ms.Zara,,United Arab Emirates,Dubai,Business Bay,INTERNATIONAL BUSINESS TOWER,Anisha1,Not Intrested,
24-10-2017,"Decorum Interior Design, LLC",,97144504290,info@decorumdubai.com/ Decorum_design@yahoo.com,http://www.decorumdubai.com,Ms.Nahit,,United Arab Emirates,Dubai,Business Bay,INTERNATIONAL BUSINESS TOWER,Anisha1,Adv to Send an email,
24-10-2017,"IT Connections General Trading, LLC",Trading,97144570376,info@itconnections.me,https://www.itconnections.me/,,,United Arab Emirates,Dubai,Business Bay,INTERNATIONAL BUSINESS TOWER,Anisha1,Not Valid Number,
24-10-2017,"EMELCO Technical Services, LLC",Tenchial,97144274088,info@emelcouae.com,http://www.emelcouae.com/,Ms.Rosal,,United Arab Emirates,Dubai,Business Bay,INTERNATIONAL BUSINESS TOWER,Anisha1,Adv to Send an email,
24-10-2017,"AdvaComm Associates, LLC",,97144340259,uae@advacomm.co.uk,http://www.advacomm.co.uk,,,United Arab Emirates,Dubai,Business Bay,INTERNATIONAL BUSINESS TOWER,Anisha1,NO Responses,
24-10-2017,Aquashi,,97144385045,,http://www.aquashi.co.uk,,,United Arab Emirates,Dubai,Business Bay,INTERNATIONAL BUSINESS TOWER,Anisha1,NO Responses,
24-10-2017,PDC Interiors,Interior,97142770399,info@pdc-interiors.com/info@proconsultuae.com,http://pdc-interiors.com,Mr.Ben,,United Arab Emirates,Dubai,Business Bay,INTERNATIONAL BUSINESS TOWER,Anisha1,Send mail,
24-10-2017,Nizine,Interior,97144209669,info@nizine.net/asma@nizine.net,http://www.nizine.net,Ms.Asma,,United Arab Emirates,Dubai,Business Bay,INTERNATIONAL BUSINESS TOWER,Anisha1,Adv to send mail will get back if required,
24-10-2017,Mister Decor,Interior,97144228170,mail@mrdecor.ae,http://www.mr-decor.com/,,,United Arab Emirates,Dubai,Business Bay,INTERNATIONAL BUSINESS TOWER,Anisha1,Not Valid Number,
24-10-2017,"Foursight Technologies, LLC",,97147737824,,http://foursight-tech.com,,,United Arab Emirates,Dubai,Business Bay,INTERNATIONAL BUSINESS TOWER,Anisha1,Disconnected,
24-10-2017,"Montreux Electromechanical Works, LLC",,97144300901,info@montreuxelcetro.com,,Ms.Aloha,,United Arab Emirates,Dubai,Business Bay,INTERNATIONAL BUSINESS TOWER,Anisha1,Adv that she is busy call back later,
24-10-2017,Hayoun Group International,,97143218897,info@suppliersdealers.com,http://www.hayoungroup.com/,Ms.Vishala,,United Arab Emirates,Dubai,Business Bay,INTERNATIONAL BUSINESS TOWER,Anisha1,Adv not required,
24-10-2017,Big9 Events,,97143289993,,http://ww38.big9events.com/,,,United Arab Emirates,Dubai,Business Bay,INTERNATIONAL BUSINESS TOWER,Anisha1,Disconnected,
24-10-2017,Artizan Interior Design,,97143695454,info@id-artizandesign.com,https://artizan.ae/,Ms.Meail,,United Arab Emirates,Dubai,Business Bay,INTERNATIONAL BUSINESS TOWER,Anisha1,Adv that dont have Hr Dept Adv send an email,
24-10-2017,"Pixel Digital Systems, LLC",,97144547629,sales@pixel-digital.com,http://www.pixel-digital.com,,,United Arab Emirates,Dubai,Business Bay,INTERNATIONAL BUSINESS TOWER,Anisha1,,
24-10-2017,"Tasha Gold and Jewels Trading, LLC",,97143384648,info@tashagold.com,http://www.tashagold.com/,Ms.Alin,,United Arab Emirates,Dubai,Business Bay,INTERNATIONAL BUSINESS TOWER,Anisha1,Adv to call back later in a middle of meeting,
24-10-2017,Desert Safari Dubai,,97144569944,basu@desertsafaridubai.com,http://www.desertsafaridubai.com/,,,United Arab Emirates,Dubai,Business Bay,INTERNATIONAL BUSINESS TOWER,Anisha1,No Responses,
24-10-2017,"Arab Exhibition Stand Manufacturing, LLC",,97148850105,admin@arabexpo.me,http://arabexpo.me/,Ms.Rebble,,United Arab Emirates,Dubai,Business Bay,INTERNATIONAL BUSINESS TOWER,Anisha1,Adv no requirement will get back,
24-10-2017,Max Entertainment and Event Management,,97144307446,info@maxeventsdubai.com,http://maxeventsdubai.com/,Mr.Anthony,,United Arab Emirates,Dubai,Business Bay,INTERNATIONAL BUSINESS TOWER,Anisha1,Adv to Send an email,
24-10-2017,Al Awazi,,97142237726,sales@alawazistudio.com / info@alawazistudio.com,https://alawazistudio.com/,,,United Arab Emirates,Dubai,Business Bay,INTERNATIONAL BUSINESS TOWER,Anisha1,No Responses,
24-10-2017,"ZONE ONE, LLC",,97144356949,marketingzoneoneme.com,http://www.zoneoneme.com,,,United Arab Emirates,Dubai,Business Bay,INTERNATIONAL BUSINESS TOWER,Anisha1,Not Valid,
24-10-2017,Gama,,97144296064,,http://gamatelecom.com/,Mr.Chirstoper,,United Arab Emirates,Dubai,Business Bay,INTERNATIONAL BUSINESS TOWER,Anisha1,Not Intersted,
24-10-2017,"North Tours, LLC",,97144569944,,http://www.north-tours.com/,,,United Arab Emirates,Dubai,Business Bay,INTERNATIONAL BUSINESS TOWER,Anisha1,No Responses,
24-10-2017,"Euro One General Trading, LLC",,97144228170,mail@euro1gt.com,http://www.euro1gt.com/,,,United Arab Emirates,Dubai,Business Bay,INTERNATIONAL BUSINESS TOWER,Anisha1,Not Valid,
24-10-2017,Darzaki Cleaning Services,,97143219408,,http://darzaki.ae/,,,United Arab Emirates,Dubai,Business Bay,INTERNATIONAL BUSINESS TOWER,Anisha1,Disconnected,
24-10-2017,NSD IT,,97144238022,ziad@mynsd.info,http://www.mynsd.info,Mr.ziad,,United Arab Emirates,Dubai,Business Bay,INTERNATIONAL BUSINESS TOWER,Anisha1,Adv will send email,
24-10-2017,Kens & Company,,97144472324,info@kensandccompany.com,http://www.kensandcompany.com,,,United Arab Emirates,Dubai,Business Bay,INTERNATIONAL BUSINESS TOWER,Anisha1,No Responses,
24-10-2017,"Aluline Company, LLC",,97144542430,enquiry@aluline.ae,http://www.aluline.ae/,,,United Arab Emirates,Dubai,Business Bay,INTERNATIONAL BUSINESS TOWER,Anisha1,Disconnected,
24-10-2017,Limouge,,97144373500,info@limeouge.com,https://www.limouge.com,,,United Arab Emirates,Dubai,Business Bay,INTERNATIONAL BUSINESS TOWER,Anisha1,not valid,
24-10-2017,"Confido Technical Services, LLC",,97142637696,info@confido.ae,http://www.confido.ae,,,United Arab Emirates,Dubai,Business Bay,INTERNATIONAL BUSINESS TOWER,Anisha1,Disconnected,
24-10-2017,"Presidential Transport By Luxury Vehicles, LLC",,,info@plimo.ae,http://www.plimo.ae,Mr.Istaiq,,United Arab Emirates,Dubai,Business Bay,INTERNATIONAL BUSINESS TOWER,Anisha1,Adv to Send an email,
24-10-2017,Canadian Kids,,97143650011,admin@canadiankidnursery.com,http://www.canadiankidsnursery.com,,,United Arab Emirates,Dubai,Business Bay,INTERNATIONAL BUSINESS TOWER,Anisha1,No Need,
24-10-2017,"Catsys Computers, LLC",,97143365618,info@catsys.ae,http://www.catsys.ae,,,United Arab Emirates,Dubai,Business Bay,INTERNATIONAL BUSINESS TOWER,Anisha1,Disconnected,
24-10-2017,"Magic Touch Laundry, LLC",,97144424871,,,,,United Arab Emirates,Dubai,Business Bay,INTERNATIONAL BUSINESS TOWER,Anisha1,No Need,
24-10-2017,Al Ghoul Law & Associates,,97142288606,info@alghoul.com,https://alghoul.com/,,,United Arab Emirates,Dubai,Business Bay,INTERNATIONAL BUSINESS TOWER,Anisha1,Disconnected,
24-10-2017,Global Integrated Services,,97145149436,info@gisuae.com,http://www.gisuae.com/,,,United Arab Emirates,Dubai,Business Bay,INTERNATIONAL BUSINESS TOWER,Anisha1,Disconnected,
24-10-2017,MIR MOSAIC,,97145518190,info@mir-mosaic.ae,http://www.mir-mosaic.ae/,,,United Arab Emirates,Dubai,Business Bay,INTERNATIONAL BUSINESS TOWER,Anisha1,Disconnected,
24-10-2017,Prego International,,97144531901,info@pregointernational.com/info@prego.ae,http://prego.ae/,Mr.Sreja,,United Arab Emirates,Dubai,Business Bay,INTERNATIONAL BUSINESS TOWER,Anisha1,Adv to Send an email,
24-10-2017,Hayoun Events,,97143211190,info@suppliersdeals.com,http://www.hayoungroup.com/,Ms.Nahid,,United Arab Emirates,Dubai,Business Bay,INTERNATIONAL BUSINESS TOWER,Anisha1,Adv to Send an email,
24-10-2017,Barwa,,97143554000,info@mamgroupdxb.com,http://www.barwa-ae.com/,Mr.Umar,,United Arab Emirates,Dubai,Business Bay,INTERNATIONAL BUSINESS TOWER,Anisha1,Adv to Send an email,
24-10-2017,Theprintshop.ae,,97144562341,sales@theprintshop.ae/feron@uniqueeyes.ae,http://theprintshop.ae/,Ms.Feron,,United Arab Emirates,Dubai,Business Bay,INTERNATIONAL BUSINESS TOWER,Anisha1,Adv to Send an email,
24-10-2017,"The Royal Trillions Real Estate Brokerage, LLC",,97142247595,,https://www.propertyfinder.ae,,,United Arab Emirates,Dubai,Business Bay,INTERNATIONAL BUSINESS TOWER,Anisha1,No Responses,
24-10-2017,"Seat Belt Rent a Car, LLC",,9.72E+11,,,,,United Arab Emirates,Dubai,Business Bay,INTERNATIONAL BUSINESS TOWER,Anisha1,,
24-10-2017,"Rikks Cruises, LLC",,97144586664,info@rikkis.net,http://www.rikks.net/,,,United Arab Emirates,Dubai,Business Bay,INTERNATIONAL BUSINESS TOWER,Anisha1,No Responses,
24-10-2017,"MBA Sark Star General Trading, LLC",,97143918830,info@mbasark.com,https://www.mbasark.com/,,,United Arab Emirates,Dubai,Business Bay,INTERNATIONAL BUSINESS TOWER,Anisha1,No Responses,
24-10-2017,"Eastbound Tourism, LLC",,97143608928,uae@eastboundgroup.com/arron@eastboundgroup.com,http://www.eastbound.ae/,Mr.Aaron,,United Arab Emirates,Dubai,Business Bay,INTERNATIONAL BUSINESS TOWER,Anisha1,Adv that will send email than get back,
24-10-2017,"Perfect Cube Technology, LLC",,97143559408,infomalaysia@pctecllc.com,https://2gis.ae/duba,,,United Arab Emirates,Dubai,Business Bay,INTERNATIONAL BUSINESS TOWER,Anisha1,No Responses,
24-10-2017,Interconnected Security Systems,,97142547887,,http://www.me-iss.com/,,,United Arab Emirates,Dubai,Business Bay,INTERNATIONAL BUSINESS TOWER,Anisha1,No Responses,
24-10-2017,OS and E International,,97144238022,info@ose-intl.com,http://www.ose-intl.com/,Mr.Zaid,,United Arab Emirates,Dubai,Business Bay,INTERNATIONAL BUSINESS TOWER,Anisha1,Adv to send mail,
24-10-2017,Euromart,,97143639639,,,,,United Arab Emirates,Dubai,Business Bay,INTERNATIONAL BUSINESS TOWER,Anisha1,,
24-10-2017,"Silver River General Trading, LLC",,97144356336,,http://www.srgt.ae/,Mr.Abdula,,United Arab Emirates,Dubai,Business Bay,INTERNATIONAL BUSINESS TOWER,Anisha1,No Need,
24-10-2017,"House Kraft Paper, LLC",,97143941779,info@hkp-paper.com,http://www.hkp-paper.com,,,United Arab Emirates,Dubai,Business Bay,INTERNATIONAL BUSINESS TOWER,Anisha1,Number disconnected,
24-10-2017,Varselor,,97145588720,info@varselor.com/hr@varselor.com,https://www.varselor.com,Tharun,,United Arab Emirates,Dubai,Business Bay,INTERNATIONAL BUSINESS TOWER,Anisha1,,
24-10-2017,Suhaila & Associates Chartered Accountants,,97144570403,mail@suhailaassociates.com,http://www.suhailaassociates.com,Anna,,United Arab Emirates,Dubai,Business Bay,INTERNATIONAL BUSINESS TOWER,Anisha1,Adv to send an email,
24-10-2017,Into All Marketing Solutions,,97144211568,info@into-all.com,http://www.into-all.com/,,,United Arab Emirates,Dubai,Business Bay,INTERNATIONAL BUSINESS TOWER,Anisha1,No Responses,
24-10-2017,"Dubai Relax Travels, LLC",,97144221776,operations@dubairelaxtours.com,http://dubairelaxtours.com/,,,United Arab Emirates,Dubai,Business Bay,INTERNATIONAL BUSINESS TOWER,Anisha1,Adv to call after 2 weeks,
24-10-2017,"Golden Tree Medicines, LLC",,97144504224,information@goldentree.ae/ahmad.odehgoldentree.ae,http://www.goldentree.ae/en/home,,,United Arab Emirates,Dubai,Business Bay,INTERNATIONAL BUSINESS TOWER,Anisha1,Adv to send mail and get back,
24-10-2017,911 Fire Fighter Challenge,,97144229111,,http://www.911-challenge.com/,,,United Arab Emirates,Dubai,Business Bay,INTERNATIONAL BUSINESS TOWER,Anisha1,Not vaild,
24-10-2017,Incubasys,,,info@incubasys.com,http://www.incubasys.com/,,,United Arab Emirates,Dubai,Business Bay,INTERNATIONAL BUSINESS TOWER,Anisha1,,
24-10-2017,EHorizon Web Design,,97145576093,sales@ehorizon.ae,https://www.ehorizon.ae/,,,United Arab Emirates,Dubai,Business Bay,INTERNATIONAL BUSINESS TOWER,Anisha1,Not Valid,
24-10-2017,"Wider View Properties, LLC",,97144341555,,http://dubaistay.net/,,,United Arab Emirates,Dubai,Business Bay,INTERNATIONAL BUSINESS TOWER,Anisha1,Disconnected,
24-10-2017,Unique Eyes Website & Emarketing Service,,97144562341,sales@uniqueeyes.ae,http://uniqueeyes.ae/,Ms.Karin,,United Arab Emirates,Dubai,Business Bay,INTERNATIONAL BUSINESS TOWER,Anisha1,No Requirement,
24-10-2017,Venue & Concept,,97144216145,,http://www.venueandconcept.com,,,United Arab Emirates,Dubai,Business Bay,INTERNATIONAL BUSINESS TOWER,Anisha1,Not Valid,
24-10-2017,Dome,,97143522799,domeduba@hotmail.om,,Mr.Jimson,,United Arab Emirates,Dubai,Business Bay,INTERNATIONAL BUSINESS TOWER,Anisha1,Send mail hr is not avble,
24-10-2017,Kobonaty.com,,97143638229,,,,,United Arab Emirates,Dubai,Business Bay,INTERNATIONAL BUSINESS TOWER,Anisha1,No Requirement,
24-10-2017,Pegas Art Gallery,,97144275027,,http://www.pegasartgallery.com/,,,United Arab Emirates,Dubai,Business Bay,INTERNATIONAL BUSINESS TOWER,Anisha1,not Valid,
24-10-2017,"Evidence Turnkey Projects Developing & Contracting, LLC",,97144474453,,,,,United Arab Emirates,Dubai,Business Bay,INTERNATIONAL BUSINESS TOWER,Anisha1,No Responses,
24-10-2017,Tech Automation,,97144519600,tech.automation.gtc@gmail.com,http://www.tan.ae/,,,United Arab Emirates,Dubai,Business Bay,INTERNATIONAL BUSINESS TOWER,Anisha1,Disconnected,
